title:S31, start timestamp:1618539658.244470, stop timestamp:1618539768.992260, headset type:INSIGHT, headset serial:A2D202F3, headset firmware:932, channels:40, sampling rate:eeg_128;mot_64, samples:14173     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1618539658.244470,34.000000,0.000000,4352.820313,4939.487305,4260.000000,4174.871582,4316.410156,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,17.000000,0.000000,0.668211,0.229736,0.570801,-0.418213,0.974136,0.157229,-0.241703,6.311330,13.106597,14.066890
1618539658.252390,35.000000,1.000000,4354.814941,4942.165039,4259.259277,4178.518555,4319.715332,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,
1618539658.260210,36.000000,1.000000,4356.809082,4944.843262,4258.518555,4182.165039,4323.020020,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,18.000000,1.000000,0.000000,0.229687,0.570801,-0.418262,0.973452,0.160159,0.000000,0.000000,0.000000,0.000000
1618539658.268030,37.000000,1.000000,4358.803223,4947.521484,4257.777832,4185.812012,4326.324707,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,
1618539658.275851,38.000000,1.000000,4360.797852,4950.199219,4257.037109,4189.458496,4329.629395,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,19.000000,1.000000,0.000000,0.229639,0.570801,-0.418311,0.972769,0.163088,0.000000,0.000000,0.000000,0.000000
1618539658.283671,39.000000,1.000000,4362.791992,4952.877441,4256.296387,4193.105469,4332.934570,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,
1618539658.291491,40.000000,1.000000,4364.786133,4955.555664,4255.555664,4196.751953,4336.239258,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,20.000000,1.000000,0.000000,0.229590,0.570801,-0.418359,0.972085,0.166018,0.000000,0.000000,0.000000,0.000000
1618539658.299311,41.000000,1.000000,4366.780762,4958.233398,4254.814941,4200.398926,4339.543945,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,
1618539658.307131,42.000000,1.000000,4368.774902,4960.911621,4254.074219,4204.045410,4342.849121,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,21.000000,1.000000,0.000000,0.229541,0.570801,-0.418408,0.971402,0.168948,0.000000,0.000000,0.000000,0.000000
1618539658.314951,43.000000,0.000000,4370.769043,4963.589844,4253.333496,4207.692383,4346.153809,0.000000,4.000000,77.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,
