title:S33, start timestamp:1618540017.296855, stop timestamp:1618540128.145181, headset type:INSIGHT, headset serial:A2D202F3, headset firmware:932, channels:40, sampling rate:eeg_128;mot_64, samples:14184     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1618540017.296855,27.000000,0.000000,4254.871582,4864.615234,4172.307617,4182.563965,4205.128418,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,
1618540017.304771,28.000000,0.000000,4257.436035,4911.282227,4185.128418,4189.230957,4208.717773,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,14.000000,0.000000,0.731734,0.159180,0.592285,-0.297363,0.970718,0.095216,-0.230961,5.055309,-0.339556,15.146976
1618540017.312588,29.000000,0.000000,4256.410156,4891.794922,4187.179688,4193.846191,4217.948730,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,
1618540017.320404,30.000000,0.000000,4258.461426,4876.922852,4188.717773,4191.282227,4224.615234,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,15.000000,0.000000,0.731537,0.159180,0.592529,-0.297363,0.964858,0.110842,-0.241703,2.037533,2.326275,14.948215
1618540017.328220,31.000000,0.000000,4253.333496,4889.230957,4187.179688,4187.692383,4218.461426,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,
1618540017.336037,32.000000,0.000000,4241.025879,4877.436035,4182.051270,4187.692383,4210.256348,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,16.000000,0.000000,0.731590,0.158936,0.592529,-0.297363,0.974136,0.116213,-0.243656,-0.678466,4.665709,15.008594
1618540017.343853,33.000000,0.000000,4238.461426,4898.974121,4185.641113,4185.128418,4209.230957,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,
1618540017.351669,34.000000,0.000000,4245.641113,4932.307617,4196.410156,4185.128418,4211.794922,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,17.000000,0.000000,0.731689,0.158936,0.592529,-0.297119,0.978042,0.105470,-0.248539,0.705319,6.771198,14.943303
1618540017.359486,35.000000,0.000000,4253.333496,4898.974121,4198.974121,4194.871582,4214.871582,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,
1618540017.367402,36.000000,0.000000,4253.846191,4880.512695,4194.358887,4193.333496,4215.897461,0.000000,3.000000,73.000000,,,,0.000000,4.000000,0.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,18.000000,0.000000,0.731742,0.158691,0.592529,-0.297119,0.969253,0.101076,-0.252934,0.036633,4.957587,15.004172
