title:S11, start timestamp:1618378449.482874, stop timestamp:1618378560.107680, headset type:INSIGHT, headset serial:A2D202F3, headset firmware:932, channels:40, sampling rate:eeg_128;mot_64, samples:14167     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1618378449.482874,1.000000,0.000000,4251.282227,4232.820313,4233.846191,4158.974121,4239.487305,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.490598,2.000000,0.000000,4254.358887,4240.512695,4248.717773,4163.077148,4235.384766,16214.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,1.000000,0.000000,0.180804,0.583008,0.170898,-0.773438,0.993667,0.060060,-0.149905,-12.853886,3.946063,59.928391
1618378449.498421,3.000000,0.000000,4255.897461,4248.205078,4255.897461,4172.820313,4240.000000,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.506244,4.000000,0.000000,4252.820313,4244.102539,4251.794922,4173.333496,4244.615234,16211.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,2.000000,0.000000,0.180573,0.583008,0.171143,-0.773438,0.979507,0.075685,-0.155764,-12.944251,7.020748,58.481518
1618378449.514068,5.000000,0.000000,4251.794922,4240.512695,4248.717773,4172.820313,4243.077148,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.521891,6.000000,0.000000,4256.410156,4245.641113,4253.333496,4172.307617,4240.000000,16186.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,3.000000,0.000000,0.180341,0.583008,0.171387,-0.773438,1.000504,0.057618,-0.141115,-12.965764,5.720519,59.153244
1618378449.529715,7.000000,0.000000,4261.025879,4247.179688,4255.384766,4167.692383,4242.051270,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.537538,8.000000,0.000000,4261.538574,4240.000000,4249.743652,4168.205078,4249.743652,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,4.000000,0.000000,0.180665,0.582764,0.171875,-0.773438,0.984390,0.063478,-0.154299,-12.985126,4.669944,59.638161
1618378449.545362,9.000000,0.000000,4258.461426,4240.000000,4244.102539,4166.666504,4245.128418,16213.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.553086,10.000000,0.000000,4256.410156,4246.153809,4238.974121,4167.692383,4237.436035,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,5.000000,0.000000,0.180433,0.582764,0.172119,-0.773438,0.994644,0.065431,-0.148440,-12.882920,3.664612,58.100685
1618378449.560910,11.000000,0.000000,4260.000000,4240.000000,4231.282227,4174.871582,4241.538574,16221.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.568734,12.000000,0.000000,4263.077148,4236.922852,4230.256348,4175.897461,4247.179688,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,6.000000,0.000000,0.180199,0.582764,0.172363,-0.773438,1.000992,0.073732,-0.145022,-12.910566,6.707626,58.870304
1618378449.576559,13.000000,0.000000,4262.563965,4248.717773,4233.846191,4180.512695,4253.846191,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.584383,14.000000,0.000000,4266.153809,4251.794922,4230.256348,4196.922852,4258.974121,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,7.000000,0.000000,0.180199,0.582764,0.172363,-0.773438,0.987808,0.061524,-0.151369,-12.875632,9.326709,57.469425
1618378449.592207,15.000000,0.000000,4268.717773,4240.000000,4217.948730,4197.948730,4253.846191,16221.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.600031,16.000000,0.000000,4262.051270,4236.410156,4212.307617,4184.615234,4241.538574,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,8.000000,0.000000,0.180199,0.582764,0.172363,-0.773438,0.999039,0.057618,-0.147951,-12.963822,7.915515,58.122730
1618378449.607855,17.000000,0.000000,4256.922852,4237.436035,4208.205078,4177.436035,4237.436035,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.615680,18.000000,0.000000,4266.153809,4234.358887,4198.974121,4173.333496,4244.102539,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,9.000000,0.000000,0.179966,0.582764,0.172607,-0.773438,0.994644,0.069337,-0.154299,-13.043194,10.234363,56.796608
1618378449.623404,19.000000,0.000000,4281.025879,4237.948730,4201.538574,4181.538574,4260.512695,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.631228,20.000000,0.000000,4280.512695,4245.128418,4214.871582,4197.948730,4275.384766,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,10.000000,0.000000,0.179966,0.582764,0.172607,-0.773438,0.982437,0.076173,-0.157717,-13.114628,8.852034,57.696636
1618378449.639053,21.000000,0.000000,4264.615234,4245.641113,4213.846191,4196.410156,4266.153809,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.646877,22.000000,0.000000,4263.077148,4243.589844,4198.461426,4185.128418,4247.179688,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,11.000000,0.000000,0.179966,0.582764,0.172607,-0.773438,0.995621,0.075685,-0.155764,-13.059288,7.368677,58.327217
1618378449.654702,23.000000,0.000000,4278.974121,4242.563965,4191.282227,4187.179688,4252.820313,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.662526,24.000000,0.000000,4284.102539,4243.589844,4195.384766,4191.282227,4269.230957,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,12.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,0.978531,0.065431,-0.161135,-13.129112,9.921655,59.014370
1618378449.670351,25.000000,0.000000,4272.307617,4245.128418,4192.820313,4187.179688,4265.641113,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.678175,26.000000,0.000000,4265.641113,4242.563965,4183.077148,4182.051270,4255.897461,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,13.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,0.994644,0.072267,-0.161135,-13.191955,8.450966,59.692623
1618378449.685999,27.000000,0.000000,4268.205078,4240.000000,4184.102539,4190.256348,4254.358887,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.693724,28.000000,0.000000,4269.230957,4239.487305,4190.256348,4199.487305,4247.179688,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,14.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,0.996597,0.065431,-0.157229,-13.069066,11.015346,58.149700
1618378449.701549,29.000000,0.000000,4268.205078,4235.897461,4185.128418,4192.820313,4243.077148,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.709374,30.000000,0.000000,4266.153809,4234.358887,4186.153809,4187.692383,4254.358887,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,15.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,0.980484,0.069337,-0.150393,-13.018282,9.315657,58.854603
1618378449.717198,31.000000,0.000000,4264.615234,4236.410156,4196.410156,4191.282227,4263.589844,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.725023,32.000000,0.000000,4262.563965,4231.282227,4192.820313,4180.512695,4254.871582,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,16.000000,0.000000,0.180199,0.582764,0.172363,-0.773438,0.998062,0.065431,-0.147463,-13.032393,11.793568,57.455296
1618378449.732848,33.000000,0.000000,4261.538574,4224.102539,4180.000000,4163.589844,4244.615234,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.740672,34.000000,0.000000,4262.563965,4223.077148,4179.487305,4169.230957,4238.974121,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,17.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,1.003922,0.059571,-0.151858,-12.925460,10.135688,58.289455
1618378449.748497,35.000000,0.000000,4263.589844,4224.615234,4184.102539,4178.974121,4239.487305,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.756321,36.000000,0.000000,4268.717773,4228.205078,4184.102539,4181.025879,4250.256348,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,18.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,0.994156,0.063966,-0.162112,-12.802423,7.300714,59.715870
1618378449.764046,37.000000,0.000000,4276.922852,4230.769043,4188.205078,4190.256348,4257.436035,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.771871,38.000000,0.000000,4284.615234,4230.769043,4195.384766,4200.512695,4253.333496,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,19.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,1.006851,0.056641,-0.148440,-13.017564,6.211750,60.144527
1618378449.779696,39.000000,0.000000,4283.077148,4233.333496,4193.333496,4195.897461,4251.282227,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378449.787521,40.000000,0.000000,4268.205078,4236.410156,4182.051270,4183.077148,4248.205078,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,20.000000,0.000000,0.179408,0.583008,0.172363,-0.773438,0.983902,0.060060,-0.165042,-13.091561,9.000051,58.616226
