title:S13, start timestamp:1618378879.568789, stop timestamp:1618378990.609392, headset type:INSIGHT, headset serial:A2D202F3, headset firmware:932, channels:40, sampling rate:eeg_128;mot_64, samples:14216     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1618378879.568789,0.000000,0.000000,4233.846191,4205.128418,4157.948730,4144.102539,4207.179688,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,0.000000,0.000000,0.287228,0.586914,0.285889,-0.700928,1.000015,0.060060,-0.157717,-11.880920,15.987744,57.999516
1618378879.576510,1.000000,0.000000,4238.461426,4216.410156,4163.589844,4139.487305,4212.307617,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378879.584330,2.000000,0.000000,4246.666504,4229.743652,4170.256348,4143.077148,4221.538574,16224.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,1.000000,0.000000,0.287823,0.586914,0.285889,-0.700684,0.987320,0.060060,-0.143557,-12.008766,17.499369,58.539993
1618378879.592150,3.000000,0.000000,4246.153809,4229.743652,4166.666504,4145.641113,4225.641113,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378879.599970,4.000000,0.000000,4244.615234,4223.589844,4155.897461,4142.563965,4227.692383,16217.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,2.000000,0.000000,0.288065,0.586914,0.285645,-0.700684,0.989761,0.061524,-0.156252,-12.064013,15.151278,59.086239
1618378879.607790,5.000000,0.000000,4247.179688,4207.692383,4157.948730,4137.436035,4229.230957,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378879.615610,6.000000,0.000000,4245.641113,4197.948730,4161.025879,4135.897461,4223.077148,16191.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,3.000000,0.000000,0.287471,0.586914,0.285645,-0.700928,0.983413,0.060548,-0.153323,-11.994102,16.925995,57.663765
1618378879.623430,7.000000,0.000000,4238.461426,4207.692383,4153.333496,4138.974121,4214.358887,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618378879.631250,8.000000,0.000000,4229.743652,4220.512695,4149.743652,4130.769043,4208.205078,450.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,4.000000,0.000000,0.288065,0.586914,0.285645,-0.700684,0.990738,0.062013,-0.144045,-12.110631,14.515612,58.297634
1618378879.638971,9.000000,0.000000,4226.153809,4215.384766,4152.820313,4124.615234,4202.051270,16219.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
